GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
ServerCalculator,server,Calculator,124,414,28,45,22,81,26,30,7,11
ServerCalculator,server,Main,190,0,8,0,38,0,7,0,3,0
ServerCalculator,logger,Logger,110,0,6,0,27,0,7,0,4,0
